SERVICE_DATE,PEAK_OFFPEAK_IND,MODE_TYPE,ROUTE_OR_LINE,ROUTE_TYPE,STOP,METRIC_TYPE,OTP_NUMERATOR,OTP_DENOMINATOR
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,448,OTH,,"Headway / Schedule Adherence",16.000000000,35.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,450,OTH,,"Headway / Schedule Adherence",95.000000000,178.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,459,OTH,,"Headway / Schedule Adherence",58.000000000,136.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,503,OTH,,"Headway / Schedule Adherence",51.000000000,62.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,68,OTH,,"Headway / Schedule Adherence",21.000000000,47.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,86,OTH,,"Headway / Schedule Adherence",213.000000000,317.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Bus,87,OTH,,"Headway / Schedule Adherence",170.000000000,227.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Commuter,"Fairmount Line",,,"Headway / Schedule Adherence",9.000000000,9.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Commuter,"Rockport  Line",,,"Headway / Schedule Adherence",8.000000000,8.000000000
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Blue Line","Blue Line","Beachmont ","Passenger Wait Time",23.001617922,522.186499417
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Boylston ","Passenger Wait Time",150.782005844,330.788582883
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Coolidge Corner ","Passenger Wait Time",113.831003296,344.357057847
01-MAR-2016,"Peak Service (Weekdays 6:30-9:30AM, 3:30PM-6:30PM)",Rail,"Green-C Line","Green Line","Dean Road ","Passenger Wait Time",24.454777632,79.478867829
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,110,OTH,,"Headway / Schedule Adherence",287.000000000,362.000000000
01-MAR-2016,"Off-Peak Service (All Other Times)",Bus,111,KBR,,"Headway / Schedule Adherence",1254.000000000,1634.000000000
